timestamp,project_root,target_class,line_coverage_pct,mutation_score_pct,flaky_count,total_generated_tests,flaky_rate_pct,pit_path,jacoco_path,idflakies_candidates
2025-10-24T02:38:49.208373Z,/home/wangjeffrey4/commons-cli,,48.73,65.83,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T03:06:18.276201Z,/home/wangjeffrey4/commons-cli,CommandLine,85.61,73.79,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T03:20:47.397781Z,/home/wangjeffrey4/commons-cli,DefaultParser,47.11,63.75,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T03:45:49.197608Z,/home/wangjeffrey4/commons-cli,Option,50,76.47,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T03:53:17.556299Z,/home/wangjeffrey4/commons-cli,Option,58.11,81.13,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T03:57:50.744178Z,/home/wangjeffrey4/commons-cli,Option,60.14,82.26,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T04:45:05.746903Z,/home/wangjeffrey4/commons-cli,Options,85.92,51.72,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T04:47:46.680624Z,/home/wangjeffrey4/commons-cli,Options,92.96,48.28,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T04:54:01.265039Z,/home/wangjeffrey4/commons-cli,Options,81.69,55.56,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T05:12:26.390726Z,/home/wangjeffrey4/commons-cli,CommandLine,83.45,71.03,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T05:44:29.869398Z,/home/wangjeffrey4/commons-cli,CommandLine,84.17,70.75,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T05:58:01.559226Z,/home/wangjeffrey4/commons-cli,DefaultParser,37.33,58.57,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T06:00:32.329745Z,/home/wangjeffrey4/commons-cli,DefaultParser,45.78,52.63,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T06:32:54.894895Z,/home/wangjeffrey4/commons-csv,CSVFormat,66.8,80.33,0,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T06:49:23.935251Z,/home/wangjeffrey4/commons-csv,CSVFormat,73.12,81.05,12,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T15:37:51.327304Z,/home/wangjeffrey4/commons-csv,CSVFormat,74.95,88.71,6,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T16:37:11.741024Z,/home/wangjeffrey4/commons-csv,CSVParser,75.78,54.41,0,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T17:36:32.581648Z,/home/wangjeffrey4/commons-cli,HelpFormatter,70.18,40.43,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T17:58:56.001563Z,/home/wangjeffrey4/commons-cli,org/apache/commons/cli/HelpFormatter,77.64,42,0,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T18:13:44.595018Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,76.02,43.01,0,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-10-24T18:35:57.338195Z,/home/wangjeffrey4/commons-csv,CSVParser,78.91,52.86,0,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T18:42:28.016603Z,/home/wangjeffrey4/commons-csv,CSVParser,75,64.79,,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T19:02:58.782010Z,/home/wangjeffrey4/commons-csv,CSVPrinter,85.22,56,,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
2025-10-24T19:11:53.861192Z,/home/wangjeffrey4/commons-csv,CSVRecord,57.45,73.08,,,,/home/wangjeffrey4/commons-csv/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-csv/target/site/jacoco/jacoco.csv,
